,user,item,rating
142,8359,8149,3
143,34001,11151,1
144,5463,14568,2
145,6342,4555,2
146,5351,8685,4
147,3750,14296,5
148,50581,7273,4
149,493,15194,5
150,48954,3818,5
151,28559,1742,4
152,54181,2520,4
153,34913,266,3
154,44850,9716,4
155,16062,5939,5
156,467,412,1
157,4265,8372,3
158,28522,10963,4
159,23821,1135,3
160,54143,4040,3
161,4437,13337,3
162,40810,10698,1
163,13548,4225,1
164,37556,3692,4
165,10150,13277,5
166,28769,6389,4
167,35783,10976,5
168,54549,5926,3
169,51854,6677,3
170,9696,11394,5
171,6223,7343,5
172,21371,1139,4
173,9177,11238,2
174,32213,14246,5
175,5195,3764,5
176,28994,11962,1
177,26676,3117,3
178,7324,10951,5
179,44483,3551,5
180,47307,11881,1
181,47476,10988,3
182,6454,1132,4
183,8015,13224,3
184,18579,4247,4
185,22584,9762,4
186,22355,5529,4
187,36768,1877,5
188,31611,772,3
189,52391,6569,3
190,18749,16305,4
191,24000,4733,3
192,1422,16106,5
193,17216,3606,3
194,28144,11704,4
195,23427,2917,4
196,3443,13918,1
197,10944,588,1
198,24545,6103,5
199,39294,6966,4
200,7421,14212,5
201,7372,12332,4
202,6211,13585,1
203,26457,5658,5
204,20444,6992,4
205,43932,14466,5
206,6639,15702,1
207,42408,6149,2
208,188,9211,3
209,31918,5031,4
210,13754,1998,3
211,22705,10967,3
212,29031,8898,3
213,16902,3165,4
214,40948,12799,4
215,24909,11494,5
216,33920,1225,3
217,17733,10437,4
218,32487,10089,4
219,6835,8066,4
220,17795,8699,5
221,7240,7916,3
222,45475,6495,1
223,51419,5877,4
224,34912,8901,4
225,25600,8185,4
226,43187,10979,2
227,3085,9258,3
228,37833,563,2
229,48299,1133,5
230,21535,6478,1
231,13763,7220,4
232,43655,13667,3
233,3986,11804,5
234,42421,2796,4
235,13018,3312,3
236,37350,1367,4
237,37604,77,3
238,52169,2619,1
239,46549,11949,5
240,37469,9604,1
241,41487,12231,4
242,7559,6059,4
243,18396,3451,5
244,45842,16089,3
245,44918,588,2
246,48431,7602,4
247,54351,3352,4
248,45305,895,5
249,37674,6088,4
250,1784,12718,4
251,11202,255,4
252,17238,4945,5
253,43139,1504,4
254,40220,6054,4
255,43031,16345,4
256,4039,10979,1
257,23760,16378,5
258,18472,10805,5
259,28874,11249,4
260,52536,407,4
261,54484,3636,3
262,51742,4564,5
263,11670,14884,3
264,22119,8590,1
265,48010,2761,5
266,23166,11114,4
267,18225,14363,1
268,144,12392,4
269,52647,5062,5
270,2928,901,3
271,53657,13397,5
272,36865,12671,2
273,16103,9664,2
274,10006,3531,4
275,14563,4564,3
276,53766,12392,5
277,23785,4247,5
278,14279,3228,2
279,34589,15368,3
280,48449,3514,4
281,53610,4247,3
282,40280,5719,4
283,19439,13486,3
284,6603,9917,3
285,32572,13624,2
286,34983,15064,2
287,45956,10987,3
288,13943,10309,4
289,36243,10703,3
290,15474,923,3
291,34451,5020,5
292,48163,15217,5
293,11792,9375,3
294,38746,9546,4
295,31329,4071,5
296,40215,6374,2
297,16348,15733,4
298,37519,10977,2
299,2310,3916,4
300,12230,12515,3
301,47690,505,4
302,20516,14775,4
303,28141,14363,4
304,19831,2460,2
305,21999,10027,4
306,11613,905,4
307,13041,877,5
308,28096,14061,4
309,24504,15078,3
310,7727,2460,4
311,8847,9071,5
312,24700,9735,5
313,51919,3045,4
314,12073,5556,2
315,52312,11922,3
316,9524,10661,4
317,52858,12141,4
318,45923,13486,4
319,53672,12454,4
320,52642,12477,4
321,20525,9389,4
322,11588,12392,3
323,10869,12672,3
324,5556,15138,1
325,16202,5238,3
326,14992,10661,5
327,12287,2796,1
328,43201,16179,4
329,9833,3474,3
330,23668,2955,4
331,17971,14466,5
332,33634,10421,2
333,52756,10309,3
334,36218,895,5
335,15586,1168,3
336,14166,588,4
337,53891,8509,2
338,15740,10967,2
339,32491,6966,4
340,16488,14230,5
341,6007,10987,3
342,32179,589,5
343,20575,2764,5
344,14917,4341,5
345,33487,2813,4
346,25814,720,3
347,44483,13337,5
348,13630,5920,5
349,37099,910,5
350,15586,11856,2
351,31760,2191,3
352,11887,14178,4
353,48208,10966,1
354,24237,11119,3
355,29126,8169,4
356,49848,10976,5
357,36079,16103,4
358,31783,31,5
359,11424,8354,4
360,6198,10964,4
361,9312,2738,3
362,40241,4409,2
363,5461,1115,3
364,41355,5400,3
365,15950,8911,3
366,46074,3518,1
367,45084,5654,3
368,3688,10275,4
369,56319,9732,4
370,49143,4600,3
371,10410,4564,4
372,144,8022,5
373,7886,14114,3
374,14920,11676,3
375,27231,8044,5
376,29809,10999,2
377,48183,14206,4
378,44656,8394,3
379,19573,8658,4
380,11371,1206,5
381,40214,3153,4
382,46477,10523,4
383,28673,5922,4
384,27263,12055,4
385,20506,3054,4
386,38963,14482,4
387,54191,4564,4
388,28353,9660,3
389,21066,10966,3
390,24232,16233,5
391,25271,732,5
392,52697,8151,5
393,21794,13903,4
394,41426,12088,3
395,26015,12492,5
396,5901,9469,5
397,39220,9225,3
398,12971,2797,5
399,24311,7654,2
400,33267,3153,5
401,18867,2222,3
402,3602,7654,5
403,45847,9266,3
404,23776,10315,5
405,3799,3563,4
406,52561,6709,4
407,41691,6054,4
408,9895,7916,4
409,26649,10509,3
410,32733,10353,3
411,10283,5340,3
412,36917,9375,5
413,21109,8480,2
414,48864,9499,3
415,29266,9969,3
416,18232,5899,5
417,44689,3806,3
418,2086,8467,3
419,13444,1135,3
420,17538,16089,3
421,5706,1359,4
422,51629,3589,5
423,27267,14293,5
424,6101,11204,2
425,50023,3796,1
426,54858,5558,4
427,29161,7289,5
428,11340,5304,3
429,41175,11563,5
430,45464,7594,4
431,43024,15604,4
432,45359,1500,3
433,52784,13560,3
434,21350,4564,3
435,41903,13338,5
436,48620,13447,1
437,13893,2103,5
438,18241,9071,3
439,53674,12501,3
440,28937,9660,3
441,36371,13336,4
442,39425,8783,1
443,44999,13682,5
444,13409,1289,4
445,14160,9727,4
446,8604,10210,5
447,37657,13287,4
448,8488,7883,2
449,18606,14072,3
450,24732,3518,3
451,34727,7791,3
452,36897,1556,3
453,8636,247,5
454,38704,7092,5
455,19680,12953,4
456,51048,10805,3
457,20151,16327,3
458,26357,13643,3
459,22406,7791,5
460,24185,858,4
461,7112,13338,5
462,39227,4247,3
463,13520,12481,4
464,12344,1564,4
465,39495,9469,3
466,23870,9261,4
467,29307,10030,5
468,49920,3087,4
469,19200,13836,3
470,10617,10780,4
471,35336,12244,4
472,27584,7614,4
473,28742,12297,4
474,9440,14299,2
475,13678,1564,4
476,8875,1488,3
477,1286,7970,5
478,44086,5683,3
479,38895,9469,4
480,30943,14789,4
481,32352,77,5
482,14399,4766,3
483,5127,7777,3
484,13927,14115,4
485,35469,11246,3
486,44693,9673,2
487,17446,10718,4
488,17024,14246,3
489,30116,10488,3
490,9811,5601,4
491,16222,13298,5
492,53155,7313,1
493,25072,319,5
494,15684,15362,3
495,14251,1367,5
496,54123,4457,4
497,5279,4941,4
498,38222,14834,4
499,44225,13643,3
500,5352,13470,3
501,45506,13072,3
502,51875,1791,4
503,39745,13336,5
504,33766,9412,2
505,32912,319,4
506,28523,2996,5
507,5568,14588,4
508,28618,3035,5
509,67,8241,4
510,49396,6495,4
511,15215,4564,5
512,10769,4341,3
513,43442,1806,4
514,45293,12584,4
515,4729,15877,4
516,42082,15772,3
517,25986,10593,3
518,27738,1679,5
519,30897,3700,5
520,35402,15960,3
521,49035,11053,3
522,46949,7385,4
523,16881,11960,2
524,21772,12582,3
525,50238,7702,3
526,36987,7496,5
527,27486,1739,3
528,20501,13097,3
529,22401,14967,3
530,24029,12344,4
531,54777,2470,2
532,33123,12522,3
533,14229,14839,3
534,4608,15804,4
535,3520,3694,5
536,1677,1135,3
537,13381,9572,4
538,14604,3417,4
539,16792,6493,4
540,50877,6459,3
541,45958,9469,4
542,45788,16018,5
543,12408,8592,5
544,921,15207,5
545,30759,4750,3
546,15933,9196,5
547,42145,4564,4
548,48337,9091,3
549,4780,9469,3
550,54052,12477,4
551,29401,162,5
552,6496,6637,4
553,32781,9998,4
554,14387,7584,4
555,53143,21,3
556,22354,11435,5
557,14069,11249,1
558,42364,4551,4
559,39193,8228,4
560,42873,4822,4
561,49041,4009,3
562,50602,10173,4
563,9631,4564,4
564,31347,7249,3
565,6767,6531,2
566,23179,15046,3
567,24758,14072,4
568,10171,6805,3
569,3192,2761,5
570,13730,6799,3
571,33805,200,4
572,5577,8356,5
573,3901,7777,3
574,33406,1255,4
575,981,14150,4
576,19828,1707,3
577,37129,12363,4
578,44602,3740,3
579,53015,9199,4
580,14852,12192,3
581,4879,6975,3
582,11406,10667,4
583,39780,882,4
584,53393,14936,5
585,36336,8022,3
586,28984,8509,2
587,10282,13534,4
588,20825,771,4
589,31169,4225,4
590,8318,10979,2
591,5763,2777,4
592,19185,4138,3
593,28853,1328,3
594,35672,9131,3
595,55678,9340,1
596,7798,9469,5
597,40309,12582,4
598,4525,3937,4
599,33771,2331,2
600,38563,15178,3
601,30651,2761,4
602,54332,12962,4
603,9587,8352,5
604,19289,564,5
605,14967,10703,5
606,36391,15196,3
607,27825,732,5
608,17144,10977,2
609,12291,5020,2
610,8614,2103,2
611,38395,5451,5
612,23403,2713,5
613,41673,1012,5
614,30135,9740,2
615,10318,8163,3
616,3814,7781,4
617,22920,5742,2
618,9243,9762,5
619,34833,12972,4
620,79,2761,4
621,54973,15437,4
622,18507,13355,3
623,17950,7291,5
624,42327,2489,5
625,1492,1873,3
626,16041,3689,5
627,31734,13875,5
628,26431,4046,3
629,46462,735,2
630,26209,977,4
631,47778,10826,1
632,6589,15799,3
633,5579,4452,3
634,41170,8380,3
635,40568,6085,5
636,31920,2761,4
637,21913,10976,4
638,23379,2761,4
639,34127,13073,2
640,45431,8780,5
641,20672,9127,4
642,50129,588,4
643,48535,1334,5
644,5649,6574,3
645,19886,2917,3
646,3844,9944,4
647,3353,6828,3
648,33704,4612,4
649,8805,4247,2
650,9400,12762,3
651,51648,12940,4
652,20076,7541,3
653,51942,3228,4
654,46678,7099,5
655,21757,7185,3
656,38539,4537,5
657,37735,8855,3
658,10786,4941,4
659,12922,12594,4
660,44079,6495,4
661,12156,1500,3
662,19620,10653,3
663,2791,4163,3
664,2375,6040,5
665,54298,15919,3
666,27602,10966,3
667,25279,7515,3
668,42759,12411,5
669,33153,4118,3
670,9109,10210,3
671,43818,3796,2
672,23730,8673,3
673,4323,13072,5
674,13559,1051,3
675,36815,10173,4
676,29441,7777,5
677,34950,15478,3
678,47396,4533,4
679,49983,13942,5
680,50844,14218,4
681,3212,6085,3
682,15496,7202,1
683,52837,1050,2
684,8391,2688,5
685,34364,13371,3
686,4347,4515,4
687,50498,8783,3
688,44523,5750,4
689,43949,7923,5
690,12966,712,4
691,44534,10309,4
692,21613,10973,4
693,44731,5711,5
694,2488,16018,4
695,46057,4347,2
696,5038,15315,4
697,37721,15194,4
698,23471,4457,4
699,46577,3153,4
700,25818,8821,3
701,12375,8558,3
702,8438,4009,4
703,36456,13487,3
704,5238,4773,4
705,26550,7654,4
706,26980,1488,3
707,37147,6478,3
708,33910,13918,4
709,19493,3153,3
710,45988,12867,3
711,10417,9762,3
712,35101,14893,4
713,48166,14434,4
714,28148,15627,4
715,35061,13486,5
716,29624,9592,2
717,11278,10673,1
718,46134,8401,5
719,21135,1564,4
720,21978,3389,4
721,46510,3397,5
722,44152,13643,3
723,11890,5548,4
724,36158,8091,4
725,18461,6081,4
726,46318,13336,4
727,10975,5598,1
728,19780,10966,4
729,36072,3328,4
730,38990,4258,4
731,42298,1047,3
732,50348,4347,5
733,2354,9320,4
734,24053,11238,5
735,36314,4564,4
736,39258,7092,2
737,2163,895,4
738,20382,14206,4
739,8339,763,2
740,45775,9375,3
741,43841,763,5
742,22916,1707,2
743,53435,1522,4
744,17415,14078,3
745,20114,2738,2
746,37191,9238,4
747,24370,5659,4
748,52729,14426,3
749,21504,6025,4
750,28788,1189,2
751,5325,10879,4
752,26369,10865,4
753,8384,12871,3
754,34923,9708,4
755,50927,11646,4
756,27720,13486,3
757,10981,15883,5
758,42642,831,4
759,18165,959,4
760,41912,8760,4
761,44773,12098,4
762,10724,10865,4
763,42241,5021,3
764,12606,10128,3
765,19522,14980,5
766,55614,15628,4
767,45788,14078,2
768,34078,3476,3
769,27094,11889,5
770,17873,2938,4
771,53726,2634,4
772,40777,11704,3
773,28059,15838,4
774,37082,8071,3
775,27132,4636,1
776,45511,1556,3
777,40797,4048,5
778,34336,10987,1
779,41213,8380,1
780,30354,6329,5
781,32397,2503,4
782,32946,9893,3
783,10374,923,4
784,13492,4541,3
785,44434,7672,1
786,5792,14354,3
787,53791,3796,2
788,2382,12671,5
789,1335,11309,4
790,53011,11949,4
791,49118,732,4
792,15186,1383,3
793,38044,7952,5
794,18155,6859,4
795,11554,15179,5
796,2943,14840,3
797,39986,10919,1
798,40064,1135,3
799,3828,1740,3
800,43178,8780,4
801,28864,15362,3
802,11891,4040,3
803,24239,2968,3
804,25823,5339,5
805,23052,4403,4
806,38596,6937,2
807,23954,9968,4
808,52090,3796,3
809,16491,8081,3
810,38165,5153,3
811,38718,4891,3
812,49937,7313,3
813,38735,1564,4
814,28240,3466,4
815,16956,1384,3
816,28989,2948,4
817,52941,1089,5
818,29647,6401,3
819,48094,15971,3
820,44730,4020,2
821,38797,4941,4
822,26677,4040,4
823,12453,6493,5
824,45623,2942,2
825,23217,1746,3
826,28087,5054,3
827,15042,1659,2
828,9669,13492,5
829,4493,11498,1
830,26710,589,1
831,643,14160,2
832,50980,409,2
833,17667,13799,4
834,12931,10970,5
835,13451,959,5
836,24960,1170,2
837,24678,3726,3
838,5196,3518,3
839,3987,8911,3
840,40807,1135,3
841,1243,8942,3
842,12077,1564,3
843,54651,7922,3
844,3916,3153,5
845,51734,85,3
846,5302,7850,3
847,52803,8509,5
848,25505,4862,3
849,34170,14632,5
850,23341,3476,3
851,28264,8300,4
852,5964,10976,4
853,33319,3541,2
854,52068,8029,5
855,44715,7067,4
856,6124,15379,2
857,38238,1973,5
858,39837,2190,4
859,52723,10967,3
860,2970,3895,3
861,48598,5999,3
862,9037,9160,2
863,4847,3475,4
864,5959,7952,4
865,563,2090,5
866,20441,8380,4
867,33422,10275,2
868,32515,3607,4
869,11996,15362,3
870,36272,4848,3
871,51626,8196,5
872,40251,2884,5
873,37600,1176,4
874,32067,12169,4
875,28382,16116,3
876,25785,2821,4
877,45067,15322,3
878,33646,13287,4
879,41921,5862,3
880,52384,2768,2
881,48057,15206,3
882,18306,7584,5
883,49966,10408,4
884,36527,12594,4
885,473,9319,4
886,24317,10385,3
887,8907,10776,4
888,35371,10857,3
889,50605,588,1
890,54232,13812,3
891,13546,15387,5
892,4699,7791,4
893,48309,16233,5
894,2595,14072,5
895,32699,6799,2
896,12003,10336,5
897,25061,8707,3
898,32748,6195,2
899,40828,3509,5
900,26010,11396,4
901,45577,15362,5
902,6809,2082,4
903,14597,13673,5
904,51192,3420,2
905,53521,15933,3
906,44529,14206,4
907,16712,877,4
908,25948,2470,4
909,42840,3649,4
910,34713,10244,5
911,18409,1691,5
912,37103,114,5
913,54573,15933,2
914,18369,15628,5
915,9417,3153,3
916,17218,15362,3
917,6274,1365,3
918,26751,3071,3
919,35706,10412,4
920,33292,14044,3
921,11328,2442,2
922,50361,4247,5
923,50311,8580,4
924,7291,10421,3
925,47316,2768,4
926,42212,4541,3
927,19468,12411,4
928,9876,1289,3
929,11599,3799,4
930,51920,5213,4
931,44585,7856,2
932,47983,2590,5
933,6498,12515,3
934,39238,4692,3
935,38283,6610,4
936,54971,360,3
937,5528,2903,3
938,5183,5149,4
939,41338,781,4
940,6116,14466,5
941,35352,11494,4
942,12022,14194,4
943,42647,14466,2
944,21845,3661,3
945,22322,6232,5
946,18903,12219,3
947,10905,10186,5
948,29415,1014,3
949,55952,516,4
950,14556,895,4
951,7072,4071,3
952,741,4204,4
953,6244,9225,2
954,10517,10523,2
955,45834,10008,2
956,41267,14453,3
957,52080,8773,3
958,5151,208,4
959,627,3796,2
960,45576,3201,3
961,44744,11838,2
962,37126,11397,2
963,30997,12410,3
964,30112,10210,5
965,50469,12993,4
966,41958,2489,4
967,18361,13875,2
968,10846,6610,1
969,27682,14194,3
970,24930,10653,5
971,7156,1627,3
972,5384,7008,3
973,37738,6495,4
974,1732,1383,3
975,24228,16063,4
976,52166,6344,3
977,49152,10649,4
978,21714,8352,5
979,50700,13591,3
980,12418,2772,4
981,41649,8167,5
982,11569,10129,2
983,51620,4048,5
984,39070,16339,3
985,17814,227,4
986,19598,9572,5
987,33004,15595,4
988,24586,4564,4
989,41269,10951,5
990,13705,2623,3
991,6546,4715,4
992,25182,9352,4
993,18854,10976,4
994,10955,4096,2
995,54078,9968,4
996,24326,6262,4
997,36758,895,4
998,34248,12192,3
999,44893,10977,2
1000,27559,6130,3
1001,13998,5449,4
1002,9148,15619,4
1003,53600,169,3
1004,28777,10030,4
1005,42289,13888,5
1006,51348,5917,3
1007,14379,15362,5
1008,33540,11889,3
1009,38798,12670,4
1010,47777,2998,5
1011,477,12392,5
1012,25871,798,3
1013,19843,877,5
1014,13967,5153,3
1015,18114,8676,1
1016,17337,3796,4
1017,20828,11985,2
1018,3521,1085,5
1019,38557,11880,5
1020,39551,15919,4
1021,23529,1206,3
1022,33576,7761,5
1023,15024,11683,4
1024,7249,15141,3
1025,44055,10111,2
1026,5335,6309,3
1027,17525,7869,4
1028,2626,15217,4
1029,16094,3450,4
1030,20144,14838,5
1031,21509,7916,4
1032,32366,9572,4
1033,46556,588,3
1034,5447,6937,3
1035,15504,9751,5
1036,10213,14206,5
1037,43813,2948,3
1038,52068,1572,3
1039,9493,9536,5
1040,21339,9979,3
1041,40534,7882,4
1042,48441,1564,4
1043,42772,1092,3
1044,5919,4890,3
1045,23974,2882,4
1046,38581,14072,5
1047,25424,12477,2
1048,10590,13470,4
1049,28667,7099,4
1050,13724,2629,3
1051,1342,11902,5
1052,24502,8509,3
1053,9410,3799,4
1054,9785,10977,5
1055,51697,12582,4
1056,15978,255,4
1057,37939,2704,2
1058,10096,5337,4
1059,43543,4247,5
1060,46802,247,5
1061,42193,4951,4
1062,44649,12477,1
1063,9897,7480,3
1064,37335,3474,5
1065,10996,4449,3
1066,45829,10879,4
1067,6195,4635,3
1068,51614,7293,4
1069,14989,4373,4
1070,17688,10894,4
1071,48655,4250,4
1072,37064,15194,4
1073,34796,3858,2
1074,55832,1502,3
1075,15105,15206,4
1076,37381,4612,5
1077,18109,13977,4
1078,4637,14206,5
1079,28749,13486,5
1080,53521,771,5
1081,764,15926,4
1082,32933,3275,4
1083,30033,6984,4
1084,22287,3054,4
1085,46249,3153,3
1086,18972,10329,3
1087,54126,6610,3
1088,25805,15315,4
1089,992,5153,4
1090,40862,15971,3
1091,3680,6777,3
1092,16619,12199,4
1093,55888,5297,4
1094,10080,9886,4
1095,41946,2173,5
1096,31866,5028,4
1097,53054,3454,4
1098,3158,6107,4
1099,40840,4779,4
1100,33764,11562,3
1101,35644,11584,4
1102,20825,3669,4
1103,38492,13888,2
1104,14072,8063,1
1105,18755,10826,4
1106,51307,14925,4
1107,15324,6201,5
1108,11040,12582,5
1109,43798,3621,4
1110,3131,15179,4
1111,24364,15311,4
1112,25048,9456,4
1113,46210,4564,4
1114,39685,1705,5
1115,19676,1679,5
1116,2441,1705,4
1117,17181,1755,4
1118,26757,6087,4
1119,20529,11739,4
1120,42188,771,5
1121,4928,2546,3
1122,42623,10966,2
1123,46705,11633,3
1124,48837,13402,5
1125,28727,4347,3
1126,29335,9572,5
1127,38681,9514,4
1128,38006,9352,2
1129,52329,14508,4
1130,35871,2890,5
1131,4101,7737,3
1132,38437,5212,3
1133,27410,13050,4
1134,15273,12170,2
1135,40802,3417,4
1136,14773,10232,4
1137,31340,615,3
1138,46251,4070,4
1139,53775,13116,3
1140,4357,12466,2
1141,31683,11494,3
1142,16362,1962,5
1143,25145,10437,4
1144,19351,15540,4
1145,22738,5333,4
1146,15394,8671,3
1147,2075,14087,5
1148,23194,4392,4
1149,10762,1255,3
1150,38383,4493,3
1151,54267,14206,4
1152,26533,10966,4
1153,26260,2917,5
1154,8426,9161,1
1155,36669,6609,4
1156,24512,4941,4
1157,41643,4274,4
1158,10761,15799,3
1159,20611,7952,4
1160,14079,5101,3
1161,42455,15435,2
1162,34117,10850,4
1163,13147,9211,4
1164,4296,9469,5
1165,6147,10030,5
1166,16103,2442,3
1167,26260,8171,2
1168,11112,8366,3
1169,9912,10362,1
1170,38248,5291,2
1171,36417,14541,4
1172,13759,16006,5
1173,37518,5324,5
1174,48441,959,5
1175,32821,12582,4
1176,16086,6088,4
1177,44635,3598,4
1178,37800,7954,3
1179,12267,3570,4
1180,39896,16089,5
1181,14394,5149,5
1182,15466,10880,4
1183,35823,3587,4
1184,11707,5954,4
1185,40747,721,5
1186,11187,14206,5
1187,21429,5658,5
1188,42054,3582,2
1189,13767,12673,5
1190,2410,6399,4
1191,7860,6609,4
1192,52344,7092,5
1193,1257,11704,5
1194,53687,6656,4
1195,48134,12192,2
1196,51828,10403,1
1197,44531,11090,4
1198,34311,866,2
1199,53521,9599,4
1200,42828,1807,3
1201,34710,16243,2
1202,5888,10865,4
1203,2721,8512,4
1204,18905,15362,4
1205,22564,12477,3
1206,36210,10087,4
1207,13258,8117,3
1208,4790,6085,4
1209,26959,3818,4
1210,52292,4247,5
1211,16721,3356,4
1212,39604,15137,1
1213,41726,5047,4
1214,35998,14072,5
1215,23244,3714,3
1216,3551,2578,4
1217,35696,13487,4
1218,53933,405,1
1219,16460,10812,5
1220,19729,7879,5
1221,21955,5498,4
1222,11275,9576,5
1223,18746,5895,2
1224,48665,10173,4
1225,12963,4848,4
1226,11873,14061,3
1227,14373,15137,4
1228,40150,6799,3
1229,22418,12971,4
1230,15687,12426,5
1231,34256,5028,4
1232,6590,8782,5
1233,2684,1485,3
1234,22317,3389,5
1235,7555,12181,5
1236,20129,11856,3
1237,27611,14495,5
1238,26420,2702,5
1239,7706,15721,2
1240,21416,15216,3
1241,3926,6781,3
1242,5855,9762,4
1243,17794,3568,2
1244,47740,2948,4
1245,28924,16302,3
1246,24700,8585,4
1247,19709,13428,4
1248,9941,9536,3
1249,46645,11949,4
1250,27874,3241,4
1251,33899,7073,3
1252,932,9740,4
1253,19355,9469,4
1254,53829,7673,3
1255,52298,11974,3
1256,2487,5054,4
1257,9125,1051,3
1258,1369,4564,5
1259,11973,4048,5
1260,12707,6088,5
1261,16458,12523,3
1262,20468,4734,5
1263,51737,895,4
1264,33202,7916,4
1265,39257,11494,4
1266,31101,13457,5
1267,45978,3818,4
1268,12959,10244,4
1269,38949,5743,3
1270,41848,12951,5
1271,21904,15140,3
1272,43673,10343,5
1273,16641,6088,5
1274,30970,1564,5
1275,24704,15064,3
1276,46222,31,5
1277,3835,4039,4
1278,17636,4882,5
1279,1706,8380,3
1280,47482,5333,3
1281,41547,15046,2
1282,13326,8015,2
1283,42110,14114,4
1284,30238,3796,2
1285,5051,1509,4
1286,27485,4247,3
1287,51888,9469,5
1288,21870,1750,3
1289,35216,5557,4
1290,21110,781,5
1291,22053,8241,2
1292,53689,16305,3
1293,37572,3125,2
1294,41450,2764,5
1295,4376,8380,3
1296,44707,12492,4
1297,26799,12392,3
1298,35504,4822,3
1299,11843,6210,5
1300,31744,10173,5
1301,4192,9181,4
1302,25759,14343,5
1303,27707,14839,3
1304,48393,14466,5
1305,41526,4362,4
1306,5794,10054,3
1307,26244,15330,4
1308,53819,11494,4
1309,46501,1459,3
1310,16098,11649,5
1311,12990,14293,5
1312,25669,9915,3
1313,13619,14333,4
1314,53030,3153,5
1315,14684,14230,4
1316,14017,1627,4
1317,7559,3916,5
1318,50988,15784,5
1319,42015,14586,3
1320,53386,5920,4
1321,14388,2631,5
1322,12833,9381,5
1323,25290,2985,4
1324,46946,8408,1
1325,12849,8107,3
1326,1023,13694,2
1327,17889,10653,3
1328,9742,5149,4
1329,27241,14212,4
1330,35379,779,1
1331,17181,6777,4
1332,30996,1010,4
1333,19005,13338,2
1334,26931,5291,3
1335,36032,9469,4
1336,13827,7222,4
1337,23521,2761,5
1338,29447,13487,2
1339,26797,9536,4
1340,31121,3954,4
1341,3488,6103,5
1342,53558,11454,2
1343,27894,12492,3
1344,17358,2103,2
1345,37753,1495,4
1346,30108,14160,2
1347,33743,6495,4
1348,14773,15207,2
1349,5929,15638,3
1350,35782,10244,2
1351,17883,6493,4
1352,22132,8676,4
1353,25123,11238,4
1354,48988,6088,4
1355,11750,3669,4
1356,25808,5326,4
1357,37450,3045,3
1358,46745,519,4
1359,45828,5020,4
1360,9717,1973,4
1361,2114,12582,5
1362,52874,5554,5
1363,47096,7008,4
1364,13959,8872,3
1365,14341,7882,3
1366,14428,9047,5
1367,47807,14114,3
1368,35495,6299,4
1369,38290,1135,4
1370,47079,5337,5
